Epoch,X,Y,Z
1699060703498,-0.35766602,-0.4326172,0.8788452
1699060703498,-0.28778076,-0.39898682,0.88604736
1699060703499,-0.15637207,-0.30169678,0.6611328
1699060703499,-0.074523926,-0.25708008,0.274292
1699060703499,0.023742676,-0.115356445,0.13397217
1699060703499,-0.04107666,0.029968262,0.09460449
1699060703499,-0.04333496,0.08251953,0.022460938
1699060703499,-0.033447266,0.09643555,-0.13891602
1699060703500,-0.0037231445,0.049682617,-0.30114746
1699060703500,-0.0357666,0.118774414,-0.4121704
1699060703500,-0.079956055,0.1428833,-0.41870117
1699060703500,-0.06072998,0.12310791,-0.45715332
1699060703500,-0.041503906,0.06774902,-0.5578003
1699060703500,-0.05340576,0.009521484,-0.6590576
1699060703500,-0.055541992,-0.00061035156,-0.7029419
1699060703536,-0.06317139,-0.03338623,-0.7354126
1699060703536,-0.074523926,-0.0748291,-0.77575684
1699060703624,-0.103027344,-0.12664795,-0.7873535
1699060703656,-0.111572266,-0.19647217,-0.77593994
1699060703656,-0.09313965,-0.2531128,-0.76556396
1699060703659,-0.090026855,-0.27593994,-0.776062
1699060703659,-0.096191406,-0.27264404,-0.7937012
1699060703659,-0.10736084,-0.24554443,-0.82995605
1699060703659,-0.09954834,-0.22180176,-0.80859375
1699060703659,-0.11932373,-0.20587158,-0.7732544
1699060703659,-0.16906738,-0.27392578,-0.7268677
1699060703661,-0.1774292,-0.3829956,-0.64630127
1699060703661,-0.15203857,-0.46887207,-0.600647
1699060703661,-0.11779785,-0.44805908,-0.5908203
1699060703661,-0.07342529,-0.33172607,-0.5863037
1699060703661,-0.047729492,-0.24371338,-0.51776123
1699060703661,-0.048950195,-0.2234497,-0.38226318
1699060703715,-0.07684326,-0.2565918,-0.23547363
1699060703715,-0.09741211,-0.30517578,-0.046203613
1699060703715,-0.12878418,-0.32141113,0.1921997
1699060703716,-0.18341064,-0.30145264,0.49694824
1699060703719,-0.24371338,-0.20080566,0.81970215
1699060703719,-0.34088135,0.017700195,1.126648
1699060703719,-0.508728,0.21307373,1.4396362
1699060703719,-0.69940186,0.39227295,1.7789917
1699060703719,-0.8930664,0.4654541,1.999939
1699060703719,-1.0736694,0.43566895,1.999939
1699060703721,-1.2357788,0.3404541,1.9957886
1699060703721,-1.4018555,0.17999268,1.9998779
1699060703776,-1.5585938,0.044128418,1.999939
1699060703776,-1.616394,-0.122924805,1.9998779
1699060703778,-1.6765137,-0.4111328,1.999939
1699060703778,-1.7556152,-0.6793823,1.999939
1699060703778,-1.7648315,-0.9209595,1.999939
1699060703778,-1.7589111,-1.060791,1.999939
1699060703999,-1.7341309,-1.0527954,1.9984131
1699060703999,-1.6790771,-0.9466553,1.9448242
1699060703999,-1.564209,-0.817749,1.8156738
1699060703999,-1.4081421,-0.6833496,1.6674805
1699060703999,-1.2503662,-0.53411865,1.5071411
1699060703999,-1.1002197,-0.37561035,1.3411865
1699060704000,-0.99938965,-0.24066162,1.1390991
1699060704000,-0.868103,-0.15252686,0.8496094
1699060704000,-0.58258057,-0.119018555,0.65283203
1699060704000,-0.6290283,-0.15020752,0.61553955
1699060704000,-0.6190796,-0.20361328,0.69317627
1699060704000,-0.48669434,-0.14196777,0.5970459
1699060704001,-0.47705078,-0.11785889,0.31939697
1699060704001,-0.27105713,0.010070801,0.20568848
1699060704015,-0.16241455,0.23760986,0.17120361
1699060704015,-0.24102783,0.19970703,0.06829834
1699060704017,-0.22723389,0.11199951,-0.02178955
1699060704018,-0.13891602,0.024353027,-0.1708374
1699060704018,-0.124694824,-0.013122559,-0.33129883
1699060704018,-0.10913086,-0.017150879,-0.3925171
1699060704018,-0.09680176,-0.022460938,-0.44628906
1699060704018,-0.08105469,-0.022033691,-0.49694824
1699060704021,-0.068359375,-0.07879639,-0.529541
1699060704021,-0.08532715,-0.15332031,-0.53778076
1699060704106,-0.10949707,-0.22662354,-0.53741455
1699060704106,-0.12194824,-0.2838745,-0.5429077
1699060704107,-0.11743164,-0.31115723,-0.5534668
1699060704107,-0.09442139,-0.29431152,-0.56500244
1699060704135,-0.0736084,-0.2467041,-0.5584717
1699060704165,-0.057373047,-0.20483398,-0.5462036
1699060704165,-0.046020508,-0.1897583,-0.5819092
1699060704196,-0.039611816,-0.17303467,-0.6273804
1699060704196,-0.06555176,-0.13568115,-0.57891846
1699060704198,-0.105529785,-0.1340332,-0.44036865
1699060704198,-0.13690186,-0.15789795,-0.31079102
1699060704199,-0.13128662,-0.1986084,-0.23242188
1699060704199,-0.09741211,-0.18121338,-0.15637207
1699060704199,-0.06518555,-0.08892822,-0.032348633
1699060704199,-0.08892822,0.036315918,0.15106201
1699060704200,-0.15924072,0.15118408,0.37225342
1699060704200,-0.24151611,0.19573975,0.6380615
1699060704200,-0.34661865,0.25585938,0.98791504
1699060704256,-0.45422363,0.36462402,1.375061
1699060704258,-0.52874756,0.4776001,1.6557617
1699060704258,-0.5745239,0.55700684,1.8023071
1699060704258,-0.65527344,0.5466919,1.9472656
1699060704258,-0.78393555,0.4567871,1.999939
1699060704258,-0.93115234,0.32592773,1.999939
1699060704347,-1.0510254,0.17980957,1.9985352
1699060704347,-1.1491089,0.02142334,1.999939
1699060704347,-1.2512207,-0.15527344,1.999939
1699060704347,-1.3339844,-0.34320068,1.9998779
1699060704377,-1.380249,-0.4888916,1.999939
1699060704377,-1.3547974,-0.5767822,1.999939
1699060704377,-1.298584,-0.63116455,1.999939
1699060704377,-1.2144165,-0.65148926,1.999939
1699060704435,-1.1022339,-0.6184082,1.999939
1699060704436,-0.97528076,-0.5159912,1.9988403
1699060704436,-0.8461304,-0.38372803,1.9214478
1699060704439,-0.7321167,-0.25335693,1.7384644
1699060704439,-0.6351929,-0.15814209,1.5621338
1699060704439,-0.5628662,-0.09484863,1.4411011
